Rank,Firm Name,17-Jul-17,30-Jun-17,31-May-17,30-Apr-17,31-Mar-17,31-Dec-16,30-Sep-16,30-Jun-16,Last Public Position,Last Public Filing Date,% Shares Out
1,"The Vanguard Group, Inc.",111418810,111418810,108388420,107618420,107188420,103685447,100332870,95477160,111418810,30-Jun-17,10.164957
2,State Street Global Advisors (SSgA),55800153,55800153,55800153,56400153,56400153,59949722,56444764,52584657,56400153,31-Mar-17,5.090758
3,BlackRock Fund Advisors,53882459,53882459,51882459,51882459,51882459,50438093,48005024,56491375,51882459,31-Mar-17,4.915803
4,"Invesco Advisers, Inc.",40112203,40112203,38112203,38112203,33112203,20408701,17357590,16874535,33112203,31-Mar-17,3.659515
5,Capital Research Global Investors (U.S.),34763010,34763010,32363010,32363010,31463010,17895992,0,0,31463010,31-Mar-17,3.171498
6,"J.P. Morgan Investment Management, Inc.",29932559,29932559,29932559,32072559,32072559,30742731,33097944,28230890,32072559,31-Mar-17,2.730806
7,"BlackRock Advisors, LLC",21529723,21529723,20429723,19929723,19929723,20754632,19994554,10911501,19929723,31-Mar-17,1.964199
8,"T. Rowe Price Associates, Inc.",21296313,21596313,33596313,34996313,34996313,40312390,41961531,22682125,34996313,31-Mar-17,1.942905
9,"Barrow Hanley Mewhinney & Strauss, LLC",19236141,19236141,17236141,17011141,17011141,16374363,16730362,15563710,17011141,31-Mar-17,1.754951
10,"Bessemer Investment Management, LLC",14113896,14113896,13213896,11913896,11913896,10114111,10051793,9988271,11913896,31-Mar-17,1.287639
11,"Voya Investment Management Company, LLC",12207189,12207189,8807189,7907189,7907189,5988689,6055899,5978505,7907189,31-Mar-17,1.113686
12,"Geode Capital Management, LLC",10603438,10603438,10693438,10693438,10693438,10136826,9640055,9060822,10693438,31-Mar-17,0.967373
13,"Northern Trust Investments, Inc.",10331341,10331341,10431341,10431341,10431341,10384979,11660439,11640803,10431341,31-Mar-17,0.942549
14,LSV Asset Management,9835992,9835992,10835992,12335992,12335992,13900592,16071786,16148786,12335992,31-Mar-17,0.897357
15,"Standard Life Investments, LTD (U.K.)",9398723,9398723,9398723,9798723,9798723,10010388,5737861,5529138,9798723,31-Mar-17,0.857464
16,Fidelity Management & Research Company,9227257,9227257,13227257,13227257,14677257,16297277,17015003,25790500,14677257,31-Mar-17,0.841821
17,"BlackRock Investment Management (U.K.), LTD",9206884,9206884,9206884,9206884,9206884,9083457,8572243,7192483,9206884,31-Mar-17,0.839962
18,"Dimensional Fund Advisors, L.P. (U.S.)",8918726,8918726,9018726,9018726,9018726,9049890,9277839,10722344,9018726,31-Mar-17,0.813673
19,"INTECH Investment Management, LLC",8316793,8316793,8316793,6316793,6316793,293355,378741,611548,6316793,31-Mar-17,0.758757
20,"Cramer Rosenthal McGlynn, LLC",7956003,7956003,7881003,7881003,7881003,7443401,8937063,5497188,7881003,31-Mar-17,0.725842
